"filename", "language", "Kotlinscript", "Markdown", "YAML", "Properties", "Batch", "Dart", "JSON", "Swift", "Project.pbxproj", "C++", "XML", "Kotlin", "Gradle", "comment", "blank", "total"
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\providers\question_provider.dart", "Dart", 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -4, -6, -40
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\shared_pref\shared_pref.dart", "Dart", 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, -2, -11, -45
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\local.properties", "Properties", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -1, -9
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\pubspec.yaml", "YAML", 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, -26, -140
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\settings.gradle.kts", "Kotlinscript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -3, -16
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -10, -7, -31
"c:\Users\navid\OneDrive\Desktop\ConnectGate\README.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\navid\OneDrive\Desktop\ConnectGate\analysis_options.yaml", "YAML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 34
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 8, 11, 77
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 49
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 11, 1, 47
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\main\kotlin\com\example\connectgateapp\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 5, 29
"c:\Users\navid\OneDrive\Desktop\ConnectGate\app\build.gradle.kts", "Kotlinscript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 48
"c:\Users\navid\OneDrive\Desktop\ConnectGate\app\src\main\kotlin\org\example\App.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 3, 16
"c:\Users\navid\OneDrive\Desktop\ConnectGate\app\src\test\kotlin\org\example\AppTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 3, 15
"c:\Users\navid\OneDrive\Desktop\ConnectGate\devtools_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\navid\OneDrive\Desktop\ConnectGate\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\navid\OneDrive\Desktop\ConnectGate\gradle.properties", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7
"c:\Users\navid\OneDrive\Desktop\ConnectGate\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\navid\OneDrive\Desktop\ConnectGate\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 30, 22, 93
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, 570, 0, 0, 0, 0, 31, 16, 617
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\GoogleService-Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\Admin_Main_Screen.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 19, 12, 114
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\Answeared.Admin.dart", "Dart", 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 296, 322, 921
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\Login_Admin.dart", "Dart", 0, 0, 0, 0, 0, 401, 0, 0, 0, 0, 0, 0, 0, 53, 23, 477
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\Profile_Admin.dart", "Dart", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 0, 0, 40, 23, 669
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\Question_Add.dart", "Dart", 0, 0, 0, 0, 0, 571, 0, 0, 0, 0, 0, 0, 0, 15, 29, 615
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\UsersGroupsCreate.dart", "Dart", 0, 0, 0, 0, 0, 693, 0, 0, 0, 0, 0, 0, 0, 107, 45, 845
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\about_admin.dart", "Dart", 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 296, 23, 590
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\see_users_answers_admin.dart", "Dart", 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 759, 1215, 2219
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Splash_Screen.dart", "Dart", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 37, 11, 142
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\Answeared_User.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 15, 14, 146
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\Login_User.dart", "Dart", 0, 0, 0, 0, 0, 468, 0, 0, 0, 0, 0, 0, 0, 13, 16, 497
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\Open_Q_Page.dart", "Dart", 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 23, 17, 382
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\Profile_User.dart", "Dart", 0, 0, 0, 0, 0, 576, 0, 0, 0, 0, 0, 0, 0, 31, 16, 623
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\Question_User.dart", "Dart", 0, 0, 0, 0, 0, 367, 0, 0, 0, 0, 0, 0, 0, 62, 26, 455
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\User_Main_Screen.dart", "Dart", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 29, 13, 123
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\about.dart", "Dart", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 297, 26, 593
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\User_Side\see_users_answers.dart", "Dart", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 507, 403, 1035
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Services\auth_services.dart", "Dart", 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 20, 36, 380
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Services\group_services.dart", "Dart", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 13, 17, 161
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Services\question_services.dart", "Dart", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 39, 14, 177
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Widgets\answer_card_admin_side.dart", "Dart", 0, 0, 0, 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 426, 409, 1290
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Widgets\answer_card_user_side.dart", "Dart", 0, 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 0, 1, 29, 486
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\core\CeckForUpdate.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 103, 42, 243
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\core\Check internet.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 5, 59
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\core\MyImages.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\core\NoInternet.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 2, 5, 80
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 12, 4, 71
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\language\MyControler.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 7, 41
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\language\text.dart", "Dart", 0, 0, 0, 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 5, 11, 463
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 6, 51
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\models\admin_model.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\models\group_model.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\models\question_model.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 5, 28
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\models\static_value.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\models\user_model.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\providers\question_provider.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 6, 40
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\shared_pref\shared_pref.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 11, 45
"c:\Users\navid\OneDrive\Desktop\ConnectGate\local.properties", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate\pubspec.yaml", "YAML", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 26, 140
"c:\Users\navid\OneDrive\Desktop\ConnectGate\settings.gradle.kts", "Kotlinscript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 16
"c:\Users\navid\OneDrive\Desktop\ConnectGate\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 0, 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 13, 2746, 2363, 5527